name,domains,web_pages,country,alpha_two_code,state-province
Lander University,['lander.edu'],['http://www.lander.edu/'],United States,US,
SUNY Maritime College,['sunymaritime.edu'],['http://www.sunymaritime.edu/'],United States,US,
Lesley University,['lesley.edu'],['http://www.lesley.edu/'],United States,US,
Laurus College,['lauruscollege.edu'],['http://www.lauruscollege.edu/'],United States,US,
National Park College,['np.edu'],['http://www.np.edu/'],United States,US,
Oklahoma Christian University,['oc.edu'],['http://www.oc.edu/'],United States,US,
San Diego Christian College,['sdcc.edu'],['http://www.sdcc.edu/'],United States,US,
SANS Technology Institute,['sans.edu'],['http://www.sans.edu/'],United States,US,
Pasco-Hernando State College,['phsc.edu'],['http://www.phsc.edu/'],United States,US,
New College of Florida,['ncf.edu'],['http://www.ncf.edu/'],United States,US,
Grand Canyon University,['gcu.edu'],['http://www.gcu.edu/'],United States,US,
Cold Spring Harbor Laboratory,['cshl.edu'],['http://www.cshl.edu/'],United States,US,
Albany State University,['asurams.edu'],['http://www.asurams.edu/'],United States,US,
Lasell College,['lasell.edu'],['http://www.lasell.edu/'],United States,US,
Contra Costa Community College District,['4cd.edu'],['http://www.4cd.edu/'],United States,US,
Mount St. Mary's University,['msmary.edu'],['http://www.msmary.edu/'],United States,US,
Robert Morris University Illinois,['robertmorris.edu'],['http://www.robertmorris.edu/'],United States,US,
Northwest Florida State College,['nwfsc.edu'],['http://www.nwfsc.edu/'],United States,US,
West Virginia Wesleyan College,['wvwc.edu'],['http://www.wvwc.edu/'],United States,US,
Utica College,['utica.edu'],['http://www.utica.edu/'],United States,US,
Career College of Northern Nevada,['ccnn.edu'],['http://www.ccnn.edu/'],United States,US,
College of Southern Nevada,['csn.edu'],['https://www.csn.edu/'],United States,US,NV
University of North Georgia,['ung.edu'],['http://www.ung.edu/'],United States,US,
The Principia,['principia.edu'],['http://www.principia.edu/'],United States,US,
Lynn University,['lynn.edu'],['http://www.lynn.edu/'],United States,US,
Colorado Community College System,['cccs.edu'],['http://www.cccs.edu/'],United States,US,
Valencia College,['valenciacollege.edu'],['http://www.valenciacollege.edu/'],United States,US,
St. Petersburg College,['spcollege.edu'],['http://www.spcollege.edu/'],United States,US,
Globe University & Minnesota School of Business,['msbcollege.edu'],['http://www.msbcollege.edu/'],United States,US,
Everest College,['everest.edu'],['http://www.everest.edu/'],United States,US,
Southwest Research Institute,['swri.edu'],['http://www.swri.edu/'],United States,US,
American Public University System,['apus.edu'],['http://www.apus.edu/'],United States,US,
Full Sail University,['fullsail.edu'],['http://www.fullsail.edu/'],United States,US,
YTI Career Institute,['yti.edu'],['http://www.yti.edu/'],United States,US,
Defense Language Institute Foreign Language Center,['dliflc.edu'],['http://www.dliflc.edu/'],United States,US,
Columbus State University,['columbusstate.edu'],['http://www.columbusstate.edu/'],United States,US,
Morehead State University,['moreheadstate.edu'],['http://www.moreheadstate.edu/'],United States,US,
Colorado State University - Global Campus,['csuglobal.edu'],['http://www.csuglobal.edu/'],United States,US,
North Dakota University System,['ndus.edu'],['http://www.ndus.edu/'],United States,US,
University of Houston-Downtown,['uhd.edu'],['http://www.uhd.edu/'],United States,US,
Stratford University,['stratford.edu'],['http://www.stratford.edu/'],United States,US,
"California Polytechnic State University, Pomona",['cpp.edu'],['http://www.cpp.edu/'],United States,US,
Baker College,['baker.edu'],['http://www.baker.edu/'],United States,US,
The College of New Jersey,['tcnj.edu'],['http://www.tcnj.edu/'],United States,US,
Abilene Christian University,['acu.edu'],['http://www.acu.edu/'],United States,US,
Adelphi University,['adelphi.edu'],['http://www.adelphi.edu/'],United States,US,
Agnes Scott College,['agnesscott.edu'],['http://www.agnesscott.edu/'],United States,US,
Aiken Technical College,['atc.edu'],['http://www.atc.edu/'],United States,US,
Air Force Institute of Technology,['afit.edu'],['http://www.afit.edu/'],United States,US,
Alabama A&M University,['aamu.edu'],['http://www.aamu.edu/'],United States,US,
Alabama State University,['alasu.edu'],['http://www.alasu.edu/'],United States,US,
Alamo Colleges,['aloma.edu'],['http://www.alamo.edu/'],United States,US,
Albertson College of Idaho,['acofi.edu'],['http://www.acofi.edu/'],United States,US,
Albion College,['albion.edu'],['http://www.albion.edu/'],United States,US,
Alfred University,['alfred.edu'],['http://www.alfred.edu/'],United States,US,
Allegheny College,['alleg.edu'],['http://www.alleg.edu/'],United States,US,
Allentown College of Saint Francis de Sales,['allencol.edu'],['http://www.allencol.edu/'],United States,US,
Alma College,['alma.edu'],['http://www.alma.edu/'],United States,US,
Alverno College,['alverno.edu'],['http://www.alverno.edu/'],United States,US,
Ambassador University,['ambassador.edu'],['http://www.ambassador.edu/'],United States,US,
American Coastline University,['amercoastuniv.edu'],['http://www.amercoastuniv.edu/'],United States,US,
American International College,['aic.edu'],['http://www.aic.edu/'],United States,US,
American University,['american.edu'],['http://www.american.edu/'],United States,US,
Amherst College,['amherst.edu'],['http://www.amherst.edu/'],United States,US,
Andrews University,['andrews.edu'],['http://www.andrews.edu/'],United States,US,
Angelo State University,['angelo.edu'],['http://www.angelo.edu/'],United States,US,
Anne Arundel Community College,['aacc.edu'],['http://www.aacc.edu/'],United States,US,
Antioch New England,['antiochne.edu'],['http://www.antiochne.edu/'],United States,US,
Antioch University,['antioch.edu'],['http://www.antioch.edu/'],United States,US,
Antioch University - Los Angeles,['antiochla.edu'],['http://www.antiochla.edu/'],United States,US,
